Case ID,Activity,Complete Timestamp,noise
0,start_event_Loan  application received,2017-09-15 14:46:25.000,
0,Check  application  form completeness,2017-09-15 14:48:38.802,
0,Appraise property,2017-09-15 15:57:26.746,
0,Check credit history,2017-09-15 16:00:30.869,
0,Check if home insurance quote is requested,2017-09-15 16:00:30.869,True
0,Assess loan risk,2017-09-15 17:28:32.533,
0,Assess eligibility,2017-09-15 17:33:54.645,
0,Check if home insurance quote is requested,2017-09-15 17:35:29.940,
0,Send acceptance pack,2017-09-15 18:48:29.013,
0,Verify repayment agreement,2017-09-15 19:55:02.203,
0,Cancel application,2017-09-15 23:13:39.744,
0,end_event_Loan  application canceled,2017-09-16 03:05:03.206,
1,start_event_Loan  application received,2017-09-16 17:53:23.799,
1,Check  application  form completeness,2017-09-16 18:27:54.932,
1,Check credit history,2017-09-16 18:33:49.728,
1,Assess loan risk,2017-09-16 19:40:04.366,
1,Appraise property,2017-09-16 20:29:08.392,
1,Assess eligibility,2017-09-16 21:58:18.762,
1,Check if home insurance quote is requested,2017-09-17 00:57:03.478,
1,Send acceptance pack,2017-09-17 02:52:22.257,
1,Verify repayment agreement,2017-09-17 03:31:55.753,
1,Cancel application,2017-09-17 03:47:16.667,
1,end_event_Loan  application canceled,2017-09-17 04:25:12.597,
2,start_event_Loan  application received,2017-09-17 15:54:20.813,
2,Check  application  form completeness,2017-09-17 16:24:16.679,
2,Return application back to applicant,2017-09-17 16:37:03.839,
2,Receive updated application,2017-09-17 17:20:15.949,
2,Check  application  form completeness,2017-09-17 17:41:31.653,
2,Return application back to applicant,2017-09-17 18:11:01.370,
2,Receive updated application,2017-09-17 19:19:45.935,
2,Check  application  form completeness,2017-09-17 19:33:52.247,
2,Check credit history,2017-09-17 21:12:48.665,
2,Assess loan risk,2017-09-17 22:36:50.611,
2,Appraise property,2017-09-17 22:54:34.303,
2,start_event_Loan  application received,2017-09-17 22:54:34.303,True
2,Assess eligibility,2017-09-17 23:09:31.230,
2,Check if home insurance quote is requested,2017-09-18 01:05:20.731,
2,Send home insurance quote,2017-09-18 01:08:42.791,
2,Send home insurance quote,2017-09-18 01:08:42.791,True
2,Verify repayment agreement,2017-09-18 01:24:11.996,
2,Cancel application,2017-09-18 01:46:14.582,
2,end_event_Loan  application canceled,2017-09-18 01:48:53.093,
3,start_event_Loan  application received,2017-09-19 13:30:01.499,
3,Check  application  form completeness,2017-09-19 13:54:39.302,
3,Return application back to applicant,2017-09-19 14:57:58.492,
3,Receive updated application,2017-09-19 16:15:19.131,
3,Check  application  form completeness,2017-09-19 16:24:47.400,
3,Verify repayment agreement,2017-09-19 16:24:47.400,True
3,Check credit history,2017-09-19 16:42:05.050,
3,Appraise property,2017-09-19 17:29:00.907,
