caseid,activity,ts,noise
2,start_event_Loan  application received,2017-09-17 15:54:20.813,
2,Check  application  form completeness,2017-09-17 16:24:16.679,
2,Return application back to applicant,2017-09-17 16:37:03.839,
2,Receive updated application,2017-09-17 17:20:15.949,
2,Check  application  form completeness,2017-09-17 17:41:31.653,
2,Return application back to applicant,2017-09-17 18:11:01.370,
2,Receive updated application,2017-09-17 19:19:45.935,
2,Check  application  form completeness,2017-09-17 19:33:52.247,
2,Check credit history,2017-09-17 21:12:48.665,
2,Assess loan risk,2017-09-17 22:36:50.611,
2,Appraise property,2017-09-17 22:54:34.303,
2,start_event_Loan  application received,2017-09-17 22:54:34.303,True
3,start_event_Loan  application received,2017-09-19 13:30:01.499,
3,Check  application  form completeness,2017-09-19 13:54:39.302,
3,Return application back to applicant,2017-09-19 14:57:58.492,
3,Receive updated application,2017-09-19 16:15:19.131,
3,Check  application  form completeness,2017-09-19 16:24:47.400,
3,Verify repayment agreement,2017-09-19 16:24:47.400,True
3,Check credit history,2017-09-19 16:42:05.050,
3,Appraise property,2017-09-19 17:29:00.907,
3,Assess loan risk,2017-09-19 17:31:59.768,
3,Assess eligibility,2017-09-19 19:10:42.870,
3,Check if home insurance quote is requested,2017-09-19 19:18:51.644,
3,Send home insurance quote,2017-09-19 21:15:00.566,
4,start_event_Loan  application received,2017-09-20 00:55:28.622,
4,Check  application  form completeness,2017-09-20 02:29:05.418,
4,Return application back to applicant,2017-09-20 02:46:34.784,
4,Receive updated application,2017-09-20 05:43:36.925,
4,Check  application  form completeness,2017-09-20 06:01:30.227,
4,Return application back to applicant,2017-09-20 07:29:37.823,
4,Receive updated application,2017-09-20 09:41:57.636,
4,Check  application  form completeness,2017-09-20 10:28:22.737,
4,Return application back to applicant,2017-09-20 11:23:42.674,
4,Receive updated application,2017-09-20 12:48:33.160,
4,Check  application  form completeness,2017-09-20 12:49:24.948,
4,Appraise property,2017-09-20 12:57:17.480,
6,start_event_Loan  application received,2017-09-20 21:19:25.477,
6,Check  application  form completeness,2017-09-20 23:31:15.345,
6,Return application back to applicant,2017-09-20 23:50:49.681,
6,Receive updated application,2017-09-21 00:06:10.434,
6,Check  application  form completeness,2017-09-21 01:35:14.082,
6,Return application back to applicant,2017-09-21 01:46:30.621,
6,Receive updated application,2017-09-21 02:10:42.266,
6,end_event_Loan  application canceled,2017-09-21 02:10:42.266,True
6,Check  application  form completeness,2017-09-21 05:00:10.590,
6,Return application back to applicant,2017-09-21 10:18:07.977,
6,Check if home insurance quote is requested,2017-09-21 10:18:07.977,True
6,Receive updated application,2017-09-21 12:00:44.913,
9,start_event_Loan  application received,2017-09-22 11:57:27.982,
9,end_event_Loan  application approved,2017-09-22 11:57:27.982,True
9,Check  application  form completeness,2017-09-22 12:01:56.659,
9,Return application back to applicant,2017-09-22 13:06:02.297,
9,Receive updated application,2017-09-22 14:08:15.715,
9,Check  application  form completeness,2017-09-22 16:39:51.435,
9,Appraise property,2017-09-22 19:13:30.972,
9,end_event_Loan  application approved,2017-09-22 19:13:30.972,True
9,Check credit history,2017-09-22 19:23:25.979,
9,Assess loan risk,2017-09-22 19:25:55.804,
9,Assess eligibility,2017-09-22 22:03:42.820,
9,Reject application,2017-09-22 23:19:08.776,
11,Assess eligibility,2017-09-23 18:54:53.721,True
11,start_event_Loan  application received,2017-09-23 18:17:10.607,
11,Check  application  form completeness,2017-09-23 19:29:38.250,
11,Check credit history,2017-09-23 20:50:36.452,
11,Assess loan risk,2017-09-23 21:08:37.408,
11,Appraise property,2017-09-24 00:43:57.668,
11,Assess eligibility,2017-09-24 04:22:05.815,
11,Check if home insurance quote is requested,2017-09-24 04:25:12.327,
11,start_event_Loan  application received,2017-09-24 04:25:12.327,True
11,Send acceptance pack,2017-09-24 04:40:19.902,
11,Verify repayment agreement,2017-09-24 04:54:25.826,
11,Cancel application,2017-09-24 05:30:42.384,
16,start_event_Loan  application received,2017-09-27 20:21:00.688,
16,Check  application  form completeness,2017-09-27 20:43:18.861,
16,Return application back to applicant,2017-09-27 21:49:22.185,
16,Receive updated application,2017-09-27 22:00:57.801,
16,Check  application  form completeness,2017-09-27 22:33:09.619,
16,end_event_Loan  application canceled,2017-09-27 22:33:09.619,True
16,Return application back to applicant,2017-09-27 23:12:41.780,
16,end_event_Loan application rejected,2017-09-27 23:12:41.780,True
16,Receive updated application,2017-09-28 01:59:04.275,
16,Check  application  form completeness,2017-09-28 03:45:53.496,
16,Return application back to applicant,2017-09-28 04:33:29.852,
16,Receive updated application,2017-09-28 05:27:18.831,
19,start_event_Loan  application received,2017-09-29 03:02:11.413,
19,Check  application  form completeness,2017-09-29 05:56:23.695,
19,Return application back to applicant,2017-09-29 07:30:31.453,
19,Receive updated application,2017-09-29 08:06:08.074,
19,Check  application  form completeness,2017-09-29 08:49:48.310,
19,Check credit history,2017-09-29 08:51:33.852,
19,Appraise property,2017-09-29 12:42:41.724,
19,Assess loan risk,2017-09-29 13:07:04.860,
19,Assess eligibility,2017-09-29 13:12:27.341,
19,Check if home insurance quote is requested,2017-09-29 13:43:32.306,
19,Send acceptance pack,2017-09-29 13:49:38.101,
19,Verify repayment agreement,2017-09-29 15:04:00.348,
22,start_event_Loan  application received,2017-10-03 13:43:01.069,
22,Check  application  form completeness,2017-10-03 14:01:58.048,
22,Return application back to applicant,2017-10-03 14:21:35.356,
22,Receive updated application,2017-10-03 16:48:08.721,
22,Check  application  form completeness,2017-10-03 18:34:11.549,
22,Return application back to applicant,2017-10-03 19:07:48.505,
22,Receive updated application,2017-10-03 19:16:00.210,
22,Check  application  form completeness,2017-10-03 19:29:35.342,
22,Return application back to applicant,2017-10-03 21:40:43.367,
22,Receive updated application,2017-10-03 22:52:04.445,
22,Check  application  form completeness,2017-10-04 01:47:56.335,
22,Return application back to applicant,2017-10-04 02:15:11.670,
26,start_event_Loan  application received,2017-10-06 01:23:22.441,
26,Check  application  form completeness,2017-10-06 01:23:25.119,
26,Return application back to applicant,2017-10-06 03:21:19.900,
26,Receive updated application,2017-10-06 04:51:06.475,
26,Check  application  form completeness,2017-10-06 05:43:00.163,
26,Appraise property,2017-10-06 05:50:26.169,
26,Check credit history,2017-10-06 07:54:50.916,
26,Assess loan risk,2017-10-06 08:13:04.336,
26,Assess eligibility,2017-10-06 08:36:02.415,
26,Check if home insurance quote is requested,2017-10-06 08:54:14.364,
26,Send acceptance pack,2017-10-06 11:12:14.760,
26,Verify repayment agreement,2017-10-06 12:39:33.897,
31,start_event_Loan  application received,2017-10-08 05:14:45.693,
31,Check  application  form completeness,2017-10-08 05:36:35.160,
31,Return application back to applicant,2017-10-08 05:53:08.583,
31,Receive updated application,2017-10-08 06:22:36.849,
31,Check  application  form completeness,2017-10-08 07:55:52.938,
31,Assess eligibility,2017-10-08 07:55:52.938,True
31,Return application back to applicant,2017-10-08 08:19:28.048,
31,Receive updated application,2017-10-08 08:29:27.519,
31,Check  application  form completeness,2017-10-08 08:53:07.852,
31,Appraise property,2017-10-08 11:29:26.724,
31,Check credit history,2017-10-08 12:09:54.244,
31,Assess loan risk,2017-10-08 14:28:40.890,
32,start_event_Loan  application received,2017-10-10 05:05:57.630,
32,Check  application  form completeness,2017-10-10 06:38:09.797,
32,Check credit history,2017-10-10 06:56:13.640,
32,Appraise property,2017-10-10 07:18:19.686,
32,Assess loan risk,2017-10-10 08:30:22.477,
32,Assess eligibility,2017-10-10 09:02:17.258,
32,Check if home insurance quote is requested,2017-10-10 09:43:31.308,
32,Approve application,2017-10-10 09:43:31.308,True
32,Send acceptance pack,2017-10-10 11:16:09.013,
32,Verify repayment agreement,2017-10-10 12:23:42.182,
32,Approve application,2017-10-10 17:01:07.588,
32,Appraise property,2017-10-10 17:01:07.588,True
33,start_event_Loan  application received,2017-10-10 09:26:53.368,
33,Check  application  form completeness,2017-10-10 09:49:26.820,
33,Return application back to applicant,2017-10-10 11:19:46.511,
33,Receive updated application,2017-10-10 13:26:08.852,
33,Check  application  form completeness,2017-10-10 15:30:38.852,
33,Return application back to applicant,2017-10-10 15:37:24.138,
33,Receive updated application,2017-10-10 15:47:51.653,
33,Check  application  form completeness,2017-10-10 16:41:06.768,
33,Check credit history,2017-10-10 16:52:24.740,
33,Send acceptance pack,2017-10-10 16:52:24.740,True
33,Appraise property,2017-10-10 17:14:54.714,
33,Assess loan risk,2017-10-10 19:17:21.505,
34,start_event_Loan  application received,2017-10-13 07:32:01.783,
34,Check  application  form completeness,2017-10-13 08:17:58.590,
34,Return application back to applicant,2017-10-13 08:25:51.133,
34,Receive updated application,2017-10-13 08:46:14.085,
34,Check  application  form completeness,2017-10-13 08:51:38.868,
34,Return application back to applicant,2017-10-13 10:39:40.575,
34,Receive updated application,2017-10-13 11:11:35.272,
34,Check  application  form completeness,2017-10-13 11:53:38.438,
34,Check credit history,2017-10-13 12:08:32.749,
34,Assess loan risk,2017-10-13 12:28:40.416,
34,Appraise property,2017-10-13 12:42:06.924,
34,Assess eligibility,2017-10-13 12:56:56.439,
40,start_event_Loan  application received,2017-10-18 03:40:40.277,
40,Reject application,2017-10-18 03:40:40.277,True
40,Check  application  form completeness,2017-10-18 04:27:28.244,
40,Return application back to applicant,2017-10-18 04:46:51.151,
40,Receive updated application,2017-10-18 05:03:40.417,
40,Check  application  form completeness,2017-10-18 05:15:51.285,
40,Check credit history,2017-10-18 05:58:22.402,
40,end_event_Loan application rejected,2017-10-18 05:58:22.402,True
40,Assess loan risk,2017-10-18 06:35:54.461,
40,Appraise property,2017-10-18 07:22:52.403,
40,Assess eligibility,2017-10-18 08:24:00.074,
40,Assess loan risk,2017-10-18 08:24:00.074,True
41,start_event_Loan  application received,2017-10-20 17:47:37.731,
41,Check  application  form completeness,2017-10-20 17:58:18.697,
41,Return application back to applicant,2017-10-20 19:27:38.451,
41,Receive updated application,2017-10-20 19:31:49.560,
41,Check  application  form completeness,2017-10-20 19:48:07.970,
41,Return application back to applicant,2017-10-20 20:57:28.409,
41,Receive updated application,2017-10-20 21:52:02.027,
41,Check  application  form completeness,2017-10-20 22:22:55.558,
41,Return application back to applicant,2017-10-20 22:24:23.770,
41,Send home insurance quote,2017-10-20 22:24:23.770,True
41,Receive updated application,2017-10-20 22:39:09.546,
41,Check credit history,2017-10-20 22:39:09.546,True
42,start_event_Loan  application received,2017-10-24 19:13:40.373,
42,Check  application  form completeness,2017-10-24 20:28:23.753,
42,Return application back to applicant,2017-10-24 20:51:02.288,
42,Receive updated application,2017-10-24 21:28:09.525,
42,Check  application  form completeness,2017-10-24 21:59:04.999,
42,Appraise property,2017-10-24 22:39:21.764,
42,Check credit history,2017-10-24 23:40:13.592,
42,Assess loan risk,2017-10-25 00:57:41.114,
42,Assess eligibility,2017-10-25 03:58:17.784,
42,Check if home insurance quote is requested,2017-10-25 04:57:50.123,
42,Send acceptance pack,2017-10-25 05:34:09.807,
42,Verify repayment agreement,2017-10-25 06:55:20.750,
46,start_event_Loan  application received,2017-10-30 17:54:04.760,
46,Check  application  form completeness,2017-10-30 18:43:03.542,
46,Return application back to applicant,2017-10-30 20:30:58.625,
46,Assess eligibility,2017-10-30 20:30:58.625,True
46,Receive updated application,2017-10-30 21:07:53.956,
46,Check  application  form completeness,2017-10-31 01:23:43.442,
46,Return application back to applicant,2017-10-31 01:28:06.806,
46,Receive updated application,2017-10-31 02:40:29.969,
46,end_event_Loan application rejected,2017-10-31 02:40:29.969,True
46,Check  application  form completeness,2017-10-31 03:55:47.564,
46,Return application back to applicant,2017-10-31 04:05:06.543,
46,Receive updated application,2017-10-31 04:15:20.179,
47,start_event_Loan  application received,2017-10-31 13:54:35.623,
47,Check  application  form completeness,2017-10-31 16:35:33.174,
47,Return application back to applicant,2017-10-31 16:47:15.707,
47,Receive updated application,2017-10-31 17:08:28.211,
47,Check  application  form completeness,2017-10-31 20:28:22.056,
47,Check credit history,2017-10-31 23:40:12.666,
47,Appraise property,2017-11-01 04:30:45.855,
47,Check if home insurance quote is requested,2017-11-01 04:30:45.855,True
47,Assess loan risk,2017-11-01 07:55:12.622,
47,Send home insurance quote,2017-11-01 07:55:12.622,True
47,Assess eligibility,2017-11-01 08:19:53.171,
47,Reject application,2017-11-01 08:36:29.587,
51,start_event_Loan  application received,2017-11-01 14:15:17.845,
51,Return application back to applicant,2017-11-01 14:15:17.845,True
51,Check  application  form completeness,2017-11-01 16:13:01.351,
51,Cancel application,2017-11-01 16:13:01.351,True
51,Return application back to applicant,2017-11-01 16:47:10.482,
51,Receive updated application,2017-11-01 17:21:37.142,
51,Check  application  form completeness,2017-11-01 17:32:30.671,
51,Return application back to applicant,2017-11-01 21:10:36.631,
51,Receive updated application,2017-11-01 23:43:23.514,
51,Check  application  form completeness,2017-11-01 23:55:35.013,
51,Return application back to applicant,2017-11-02 00:42:45.317,
51,Receive updated application,2017-11-02 02:09:24.289,
55,start_event_Loan  application received,2017-11-04 23:00:02.424,
55,Check  application  form completeness,2017-11-04 23:00:30.942,
55,Return application back to applicant,2017-11-04 23:03:53.609,
55,Receive updated application,2017-11-05 00:54:53.264,
55,Send acceptance pack,2017-11-05 00:54:53.264,True
55,Check  application  form completeness,2017-11-05 01:14:42.242,
55,Return application back to applicant,2017-11-05 02:42:33.483,
55,Receive updated application,2017-11-05 04:02:17.204,
55,Check  application  form completeness,2017-11-05 04:45:34.513,
55,Appraise property,2017-11-05 04:48:56.522,
55,Check credit history,2017-11-05 05:33:35.875,
55,Assess loan risk,2017-11-05 06:35:06.223,
61,start_event_Loan  application received,2017-11-15 16:27:18.350,
61,Check  application  form completeness,2017-11-15 16:41:09.189,
61,Return application back to applicant,2017-11-15 16:53:20.617,
61,Receive updated application,2017-11-15 18:31:38.046,
61,Check  application  form completeness,2017-11-15 20:13:04.928,
61,Return application back to applicant,2017-11-15 20:47:34.585,
61,Receive updated application,2017-11-16 00:15:28.485,
61,Check  application  form completeness,2017-11-16 00:35:30.506,
61,Check credit history,2017-11-16 01:13:27.383,
61,Appraise property,2017-11-16 04:42:29.161,
