caseid,activity,ts,noise,outcome
0,start_event_Loan  application received,2017-09-15 14:46:25.000,,Check  application  form completeness
0,Check  application  form completeness,2017-09-15 14:48:38.802,,Appraise property
1,start_event_Loan  application received,2017-09-16 17:53:23.799,,Check  application  form completeness
1,Check  application  form completeness,2017-09-16 18:27:54.932,,Check credit history
2,start_event_Loan  application received,2017-09-17 15:54:20.813,,Check  application  form completeness
2,Check  application  form completeness,2017-09-17 16:24:16.679,,Return application back to applicant
3,start_event_Loan  application received,2017-09-19 13:30:01.499,,Check  application  form completeness
3,Check  application  form completeness,2017-09-19 13:54:39.302,,Return application back to applicant
4,start_event_Loan  application received,2017-09-20 00:55:28.622,,Check  application  form completeness
4,Check  application  form completeness,2017-09-20 02:29:05.418,,Return application back to applicant
5,start_event_Loan  application received,2017-09-20 10:57:43.343,,Return application back to applicant
5,Return application back to applicant,2017-09-20 10:57:43.343,True,Check  application  form completeness
6,start_event_Loan  application received,2017-09-20 21:19:25.477,,Check  application  form completeness
6,Check  application  form completeness,2017-09-20 23:31:15.345,,Return application back to applicant
7,start_event_Loan  application received,2017-09-21 15:13:47.473,,Check  application  form completeness
7,Check  application  form completeness,2017-09-21 16:25:35.275,,Check credit history
8,start_event_Loan  application received,2017-09-21 20:35:05.535,,Check  application  form completeness
8,Check  application  form completeness,2017-09-21 21:01:55.242,,Appraise property
9,start_event_Loan  application received,2017-09-22 11:57:27.982,,end_event_Loan  application approved
9,end_event_Loan  application approved,2017-09-22 11:57:27.982,True,Check  application  form completeness
10,start_event_Loan  application received,2017-09-23 13:11:39.677,,Check  application  form completeness
10,Check  application  form completeness,2017-09-23 13:14:11.082,,Check credit history
11,start_event_Loan  application received,2017-09-23 18:17:10.607,,Assess eligibility
11,Assess eligibility,2017-09-23 18:54:53.721,True,Check  application  form completeness
12,start_event_Loan  application received,2017-09-24 20:58:14.298,,Check  application  form completeness
12,Check  application  form completeness,2017-09-24 21:14:59.790,,Appraise property
13,start_event_Loan  application received,2017-09-25 10:48:19.971,,Check  application  form completeness
13,Check  application  form completeness,2017-09-25 11:12:56.026,,Appraise property
14,start_event_Loan  application received,2017-09-25 14:31:52.990,,Check  application  form completeness
14,Check  application  form completeness,2017-09-25 17:23:43.923,,Return application back to applicant
15,Check  application  form completeness,2017-09-26 02:00:03.382,True,start_event_Loan  application received
15,start_event_Loan  application received,2017-09-26 09:52:51.650,,Check  application  form completeness
16,start_event_Loan  application received,2017-09-27 20:21:00.688,,Check  application  form completeness
16,Check  application  form completeness,2017-09-27 20:43:18.861,,Return application back to applicant
17,start_event_Loan  application received,2017-09-28 06:52:29.228,,Check  application  form completeness
17,Check  application  form completeness,2017-09-28 07:21:53.312,,Return application back to applicant
18,start_event_Loan  application received,2017-09-28 15:21:30.488,,Check  application  form completeness
18,Check  application  form completeness,2017-09-28 19:02:21.189,,Appraise property
19,start_event_Loan  application received,2017-09-29 03:02:11.413,,Check  application  form completeness
19,Check  application  form completeness,2017-09-29 05:56:23.695,,Return application back to applicant
20,start_event_Loan  application received,2017-10-01 09:45:56.206,,Check  application  form completeness
20,Check  application  form completeness,2017-10-01 10:12:08.504,,Return application back to applicant
21,start_event_Loan  application received,2017-10-02 04:21:19.863,,Reject application
21,Reject application,2017-10-02 04:21:19.863,True,Check  application  form completeness
22,start_event_Loan  application received,2017-10-03 13:43:01.069,,Check  application  form completeness
22,Check  application  form completeness,2017-10-03 14:01:58.048,,Return application back to applicant
23,start_event_Loan  application received,2017-10-04 12:51:59.514,,Check  application  form completeness
23,Check  application  form completeness,2017-10-04 15:08:00.735,,Check credit history
24,start_event_Loan  application received,2017-10-04 17:23:31.456,,Check  application  form completeness
24,Check  application  form completeness,2017-10-04 21:44:27.675,,Check credit history
25,start_event_Loan  application received,2017-10-05 02:56:19.723,,Check  application  form completeness
25,Check  application  form completeness,2017-10-05 04:29:46.854,,Appraise property
26,start_event_Loan  application received,2017-10-06 01:23:22.441,,Check  application  form completeness
26,Check  application  form completeness,2017-10-06 01:23:25.119,,Return application back to applicant
27,start_event_Loan  application received,2017-10-06 09:46:08.846,,Check  application  form completeness
27,Check  application  form completeness,2017-10-06 11:04:05.510,,Check credit history
28,start_event_Loan  application received,2017-10-06 20:39:48.169,,Check  application  form completeness
28,Check  application  form completeness,2017-10-06 21:38:28.011,,Check credit history
29,start_event_Loan  application received,2017-10-07 01:24:11.048,,Assess loan risk
29,Assess loan risk,2017-10-07 01:24:11.048,True,Check  application  form completeness
30,start_event_Loan  application received,2017-10-08 00:12:40.545,,Check  application  form completeness
30,Check  application  form completeness,2017-10-08 01:13:37.464,,Check credit history
31,start_event_Loan  application received,2017-10-08 05:14:45.693,,Check  application  form completeness
31,Check  application  form completeness,2017-10-08 05:36:35.160,,Return application back to applicant
32,start_event_Loan  application received,2017-10-10 05:05:57.630,,Check  application  form completeness
32,Check  application  form completeness,2017-10-10 06:38:09.797,,Check credit history
33,start_event_Loan  application received,2017-10-10 09:26:53.368,,Check  application  form completeness
33,Check  application  form completeness,2017-10-10 09:49:26.820,,Return application back to applicant
34,start_event_Loan  application received,2017-10-13 07:32:01.783,,Check  application  form completeness
34,Check  application  form completeness,2017-10-13 08:17:58.590,,Return application back to applicant
35,start_event_Loan  application received,2017-10-13 08:55:17.380,,start_event_Loan  application received
35,start_event_Loan  application received,2017-10-13 08:55:17.380,True,Check  application  form completeness
36,start_event_Loan  application received,2017-10-13 13:11:33.848,,Check  application  form completeness
36,Check  application  form completeness,2017-10-13 13:34:16.481,,Appraise property
37,start_event_Loan  application received,2017-10-13 19:32:27.030,,Check  application  form completeness
37,Check  application  form completeness,2017-10-13 20:53:54.988,,Check credit history
38,start_event_Loan  application received,2017-10-13 20:00:57.087,,Check  application  form completeness
38,Check  application  form completeness,2017-10-13 20:37:23.532,,Appraise property
39,start_event_Loan  application received,2017-10-13 21:24:12.783,,Check  application  form completeness
39,Check  application  form completeness,2017-10-13 22:05:25.958,,Appraise property
40,start_event_Loan  application received,2017-10-18 03:40:40.277,,Reject application
40,Reject application,2017-10-18 03:40:40.277,True,Check  application  form completeness
41,start_event_Loan  application received,2017-10-20 17:47:37.731,,Check  application  form completeness
41,Check  application  form completeness,2017-10-20 17:58:18.697,,Return application back to applicant
42,start_event_Loan  application received,2017-10-24 19:13:40.373,,Check  application  form completeness
42,Check  application  form completeness,2017-10-24 20:28:23.753,,Return application back to applicant
43,start_event_Loan  application received,2017-10-25 16:55:04.383,,Check  application  form completeness
43,Check  application  form completeness,2017-10-25 17:46:49.545,,Check credit history
44,start_event_Loan  application received,2017-10-25 20:14:49.452,,Check  application  form completeness
44,Check  application  form completeness,2017-10-25 20:43:05.511,,Appraise property
45,start_event_Loan  application received,2017-10-30 16:40:50.079,,Check  application  form completeness
45,Check  application  form completeness,2017-10-30 18:10:33.877,,Cancel application
46,start_event_Loan  application received,2017-10-30 17:54:04.760,,Check  application  form completeness
46,Check  application  form completeness,2017-10-30 18:43:03.542,,Return application back to applicant
47,start_event_Loan  application received,2017-10-31 13:54:35.623,,Check  application  form completeness
47,Check  application  form completeness,2017-10-31 16:35:33.174,,Return application back to applicant
48,start_event_Loan  application received,2017-11-01 05:44:48.861,,Check  application  form completeness
48,Check  application  form completeness,2017-11-01 06:36:10.952,,Appraise property
49,start_event_Loan  application received,2017-11-01 08:04:09.785,,Check  application  form completeness
49,Check  application  form completeness,2017-11-01 09:08:43.031,,Check credit history
50,start_event_Loan  application received,2017-11-01 11:05:50.554,,Check  application  form completeness
50,Check  application  form completeness,2017-11-01 12:17:18.397,,Check credit history
51,start_event_Loan  application received,2017-11-01 14:15:17.845,,Return application back to applicant
51,Return application back to applicant,2017-11-01 14:15:17.845,True,Check  application  form completeness
52,start_event_Loan  application received,2017-11-01 16:40:00.955,,Check  application  form completeness
52,Check  application  form completeness,2017-11-01 17:00:17.549,,Appraise property
53,start_event_Loan  application received,2017-11-03 05:23:55.037,,Check  application  form completeness
53,Check  application  form completeness,2017-11-03 07:59:19.483,,Appraise property
54,start_event_Loan  application received,2017-11-03 14:04:46.801,,Check  application  form completeness
54,Check  application  form completeness,2017-11-03 14:26:53.889,,Send acceptance pack
55,start_event_Loan  application received,2017-11-04 23:00:02.424,,Check  application  form completeness
55,Check  application  form completeness,2017-11-04 23:00:30.942,,Return application back to applicant
56,start_event_Loan  application received,2017-11-06 22:05:40.381,,Check  application  form completeness
56,Check  application  form completeness,2017-11-06 22:54:53.453,,Approve application
57,start_event_Loan  application received,2017-11-07 04:23:21.630,,Check  application  form completeness
57,Check  application  form completeness,2017-11-07 04:55:27.539,,Check credit history
58,start_event_Loan  application received,2017-11-08 21:43:56.161,,Check  application  form completeness
58,Check  application  form completeness,2017-11-08 21:47:39.173,,Check credit history
59,start_event_Loan  application received,2017-11-13 03:36:28.264,,Check  application  form completeness
59,Check  application  form completeness,2017-11-13 04:09:23.550,,Check credit history
60,start_event_Loan  application received,2017-11-14 20:18:12.703,,Check  application  form completeness
60,Check  application  form completeness,2017-11-14 21:05:29.145,,Check credit history
61,start_event_Loan  application received,2017-11-15 16:27:18.350,,Check  application  form completeness
61,Check  application  form completeness,2017-11-15 16:41:09.189,,Return application back to applicant
62,start_event_Loan  application received,2017-11-15 16:41:17.101,,Check  application  form completeness
62,Check  application  form completeness,2017-11-15 17:10:34.686,,Return application back to applicant
63,start_event_Loan  application received,2017-11-16 04:39:14.489,,Appraise property
63,Appraise property,2017-11-16 04:39:14.489,True,Check  application  form completeness
64,start_event_Loan  application received,2017-11-16 12:39:17.192,,Check  application  form completeness
64,Check  application  form completeness,2017-11-16 13:03:19.640,,Check credit history
65,start_event_Loan  application received,2017-11-17 10:14:09.651,,Receive updated application
65,Receive updated application,2017-11-17 10:14:09.651,True,Check  application  form completeness
66,start_event_Loan  application received,2017-11-20 00:40:04.417,,Check  application  form completeness
66,Check  application  form completeness,2017-11-20 01:11:36.501,,Appraise property
67,start_event_Loan  application received,2017-11-21 03:18:15.980,,Check  application  form completeness
67,Check  application  form completeness,2017-11-21 04:20:13.494,,Appraise property
68,start_event_Loan  application received,2017-11-21 06:41:47.810,,Check  application  form completeness
68,Check  application  form completeness,2017-11-21 08:51:08.307,,Appraise property
69,start_event_Loan  application received,2017-11-22 09:06:48.102,,Check  application  form completeness
69,Check  application  form completeness,2017-11-22 09:38:48.400,,Check credit history
70,start_event_Loan  application received,2017-11-26 09:09:38.129,,Check  application  form completeness
70,Check  application  form completeness,2017-11-26 09:48:58.431,,Return application back to applicant
71,start_event_Loan  application received,2017-11-26 18:42:08.010,,Check  application  form completeness
71,Check  application  form completeness,2017-11-26 21:13:31.337,,Appraise property
72,start_event_Loan  application received,2017-11-27 00:22:27.574,,Check  application  form completeness
72,Check  application  form completeness,2017-11-27 00:43:00.018,,Appraise property
73,start_event_Loan  application received,2017-11-28 03:20:18.401,,Check  application  form completeness
73,Check  application  form completeness,2017-11-28 04:41:54.049,,Appraise property
74,start_event_Loan  application received,2017-11-28 18:05:10.154,,Check  application  form completeness
74,Check  application  form completeness,2017-11-28 18:58:34.386,,Return application back to applicant
75,start_event_Loan  application received,2017-11-28 20:11:26.460,,Check  application  form completeness
75,Check  application  form completeness,2017-11-28 20:30:29.971,,Appraise property
76,start_event_Loan  application received,2017-11-30 17:40:17.587,,Check  application  form completeness
76,Check  application  form completeness,2017-11-30 19:18:33.350,,Check credit history
77,start_event_Loan  application received,2017-12-03 14:58:26.298,,Check  application  form completeness
77,Check  application  form completeness,2017-12-03 15:50:14.594,,Check if home insurance quote is requested
78,start_event_Loan  application received,2017-12-03 21:09:18.025,,Reject application
78,Reject application,2017-12-03 21:09:18.025,True,Check  application  form completeness
79,start_event_Loan  application received,2017-12-04 02:33:23.832,,Check  application  form completeness
79,Check  application  form completeness,2017-12-04 02:52:28.455,,Appraise property
80,Receive updated application,2017-12-04 09:51:06.261,True,start_event_Loan  application received
80,start_event_Loan  application received,2017-12-05 10:27:17.707,,Check  application  form completeness
81,start_event_Loan  application received,2017-12-07 07:08:00.421,,Check  application  form completeness
81,Check  application  form completeness,2017-12-07 07:24:10.475,,Return application back to applicant
82,Check if home insurance quote is requested,2017-12-07 21:16:38.209,True,start_event_Loan  application received
82,start_event_Loan  application received,2017-12-09 04:23:48.315,,Check  application  form completeness
83,start_event_Loan  application received,2017-12-10 14:20:46.561,,Check  application  form completeness
83,Check  application  form completeness,2017-12-10 15:14:14.691,,Appraise property
84,start_event_Loan  application received,2017-12-11 23:42:18.690,,Check  application  form completeness
84,Check  application  form completeness,2017-12-12 00:10:01.268,,Check credit history
85,start_event_Loan  application received,2017-12-12 16:00:09.586,,Check  application  form completeness
85,Check  application  form completeness,2017-12-12 16:36:09.937,,Check credit history
86,start_event_Loan  application received,2017-12-14 01:54:06.203,,end_event_Loan application rejected
86,end_event_Loan application rejected,2017-12-14 01:54:06.203,True,Check  application  form completeness
87,start_event_Loan  application received,2017-12-15 01:44:02.934,,Check  application  form completeness
87,Check  application  form completeness,2017-12-15 01:47:50.655,,Appraise property
88,start_event_Loan  application received,2017-12-17 14:14:45.997,,Check  application  form completeness
88,Check  application  form completeness,2017-12-17 14:18:09.817,,Return application back to applicant
89,start_event_Loan  application received,2017-12-18 11:21:36.935,,Check  application  form completeness
89,Check  application  form completeness,2017-12-18 11:54:53.845,,Return application back to applicant
90,start_event_Loan  application received,2017-12-19 12:36:13.105,,Check  application  form completeness
90,Check  application  form completeness,2017-12-19 13:51:27.762,,Return application back to applicant
91,start_event_Loan  application received,2017-12-20 18:07:16.530,,Check  application  form completeness
91,Check  application  form completeness,2017-12-20 19:57:41.987,,Return application back to applicant
92,start_event_Loan  application received,2017-12-22 03:12:21.383,,Check  application  form completeness
92,Check  application  form completeness,2017-12-22 05:30:06.651,,Check credit history
93,start_event_Loan  application received,2017-12-22 18:37:36.713,,Check  application  form completeness
93,Check  application  form completeness,2017-12-22 18:59:36.987,,Return application back to applicant
94,start_event_Loan  application received,2017-12-23 04:42:38.606,,Check  application  form completeness
94,Check  application  form completeness,2017-12-23 04:59:28.161,,Return application back to applicant
95,start_event_Loan  application received,2017-12-24 06:20:00.344,,Check  application  form completeness
95,Check  application  form completeness,2017-12-24 06:43:26.102,,Check credit history
96,start_event_Loan  application received,2017-12-24 19:42:24.547,,Check  application  form completeness
96,Check  application  form completeness,2017-12-24 20:41:31.411,,Return application back to applicant
97,start_event_Loan  application received,2017-12-25 23:00:31.291,,Check  application  form completeness
97,Check  application  form completeness,2017-12-25 23:03:22.812,,Appraise property
98,start_event_Loan  application received,2017-12-26 00:13:17.447,,Check  application  form completeness
98,Check  application  form completeness,2017-12-26 00:39:27.114,,Return application back to applicant
99,start_event_Loan  application received,2017-12-27 17:00:45.058,,Check  application  form completeness
99,Check  application  form completeness,2017-12-27 17:51:20.690,,start_event_Loan  application received
100,start_event_Loan  application received,2017-12-28 23:11:13.114,,Check  application  form completeness
100,Check  application  form completeness,2017-12-29 00:08:58.510,,Return application back to applicant
