caseid,activity,ts,noise
0,start_event_Loan  application received,2017-09-15 14:46:25.000,
0,Check  application  form completeness,2017-09-15 14:48:38.802,
0,Appraise property,2017-09-15 15:57:26.746,
0,Check credit history,2017-09-15 16:00:30.869,
0,Check if home insurance quote is requested,2017-09-15 16:00:30.869,True
1,start_event_Loan  application received,2017-09-16 17:53:23.799,
1,Check  application  form completeness,2017-09-16 18:27:54.932,
1,Check credit history,2017-09-16 18:33:49.728,
1,Assess loan risk,2017-09-16 19:40:04.366,
1,Appraise property,2017-09-16 20:29:08.392,
2,start_event_Loan  application received,2017-09-17 15:54:20.813,
2,Check  application  form completeness,2017-09-17 16:24:16.679,
2,Return application back to applicant,2017-09-17 16:37:03.839,
2,Receive updated application,2017-09-17 17:20:15.949,
2,Check  application  form completeness,2017-09-17 17:41:31.653,
3,start_event_Loan  application received,2017-09-19 13:30:01.499,
3,Check  application  form completeness,2017-09-19 13:54:39.302,
3,Return application back to applicant,2017-09-19 14:57:58.492,
3,Receive updated application,2017-09-19 16:15:19.131,
3,Check  application  form completeness,2017-09-19 16:24:47.400,
4,start_event_Loan  application received,2017-09-20 00:55:28.622,
4,Check  application  form completeness,2017-09-20 02:29:05.418,
4,Return application back to applicant,2017-09-20 02:46:34.784,
4,Receive updated application,2017-09-20 05:43:36.925,
4,Check  application  form completeness,2017-09-20 06:01:30.227,
5,start_event_Loan  application received,2017-09-20 10:57:43.343,
5,Return application back to applicant,2017-09-20 10:57:43.343,True
5,Check  application  form completeness,2017-09-20 11:32:22.974,
5,Appraise property,2017-09-20 12:12:04.074,
5,Check credit history,2017-09-20 12:37:48.818,
6,start_event_Loan  application received,2017-09-20 21:19:25.477,
6,Check  application  form completeness,2017-09-20 23:31:15.345,
6,Return application back to applicant,2017-09-20 23:50:49.681,
6,Receive updated application,2017-09-21 00:06:10.434,
6,Check  application  form completeness,2017-09-21 01:35:14.082,
7,start_event_Loan  application received,2017-09-21 15:13:47.473,
7,Check  application  form completeness,2017-09-21 16:25:35.275,
7,Check credit history,2017-09-21 17:32:33.710,
7,Assess loan risk,2017-09-21 18:14:46.000,
7,Appraise property,2017-09-21 18:43:17.122,
8,start_event_Loan  application received,2017-09-21 20:35:05.535,
8,Check  application  form completeness,2017-09-21 21:01:55.242,
8,Appraise property,2017-09-22 00:20:09.343,
8,Check credit history,2017-09-22 01:48:43.549,
8,Assess loan risk,2017-09-22 03:40:14.624,
9,start_event_Loan  application received,2017-09-22 11:57:27.982,
9,end_event_Loan  application approved,2017-09-22 11:57:27.982,True
9,Check  application  form completeness,2017-09-22 12:01:56.659,
9,Return application back to applicant,2017-09-22 13:06:02.297,
9,Receive updated application,2017-09-22 14:08:15.715,
