caseid,activity,ts,noise,outcome
0,start_event_Loan  application received,2017-09-15 14:46:25.000,,Check  application  form completeness
0,Check  application  form completeness,2017-09-15 14:48:38.802,,Appraise property
0,Appraise property,2017-09-15 15:57:26.746,,Check credit history
0,Check credit history,2017-09-15 16:00:30.869,,Check if home insurance quote is requested
0,Check if home insurance quote is requested,2017-09-15 16:00:30.869,True,Assess loan risk
0,Assess loan risk,2017-09-15 17:28:32.533,,Assess eligibility
0,Assess eligibility,2017-09-15 17:33:54.645,,Check if home insurance quote is requested
0,Check if home insurance quote is requested,2017-09-15 17:35:29.940,,Send acceptance pack
0,Send acceptance pack,2017-09-15 18:48:29.013,,Verify repayment agreement
0,Verify repayment agreement,2017-09-15 19:55:02.203,,Cancel application
0,Cancel application,2017-09-15 23:13:39.744,,end_event_Loan  application canceled
2,start_event_Loan  application received,2017-09-17 15:54:20.813,,Check  application  form completeness
2,Check  application  form completeness,2017-09-17 16:24:16.679,,Return application back to applicant
2,Return application back to applicant,2017-09-17 16:37:03.839,,Receive updated application
2,Receive updated application,2017-09-17 17:20:15.949,,Check  application  form completeness
2,Check  application  form completeness,2017-09-17 17:41:31.653,,Return application back to applicant
2,Return application back to applicant,2017-09-17 18:11:01.370,,Receive updated application
2,Receive updated application,2017-09-17 19:19:45.935,,Check  application  form completeness
2,Check  application  form completeness,2017-09-17 19:33:52.247,,Check credit history
2,Check credit history,2017-09-17 21:12:48.665,,Assess loan risk
2,Assess loan risk,2017-09-17 22:36:50.611,,Appraise property
2,Appraise property,2017-09-17 22:54:34.303,,start_event_Loan  application received
3,start_event_Loan  application received,2017-09-19 13:30:01.499,,Check  application  form completeness
3,Check  application  form completeness,2017-09-19 13:54:39.302,,Return application back to applicant
3,Return application back to applicant,2017-09-19 14:57:58.492,,Receive updated application
3,Receive updated application,2017-09-19 16:15:19.131,,Check  application  form completeness
3,Check  application  form completeness,2017-09-19 16:24:47.400,,Verify repayment agreement
3,Verify repayment agreement,2017-09-19 16:24:47.400,True,Check credit history
3,Check credit history,2017-09-19 16:42:05.050,,Appraise property
3,Appraise property,2017-09-19 17:29:00.907,,Assess loan risk
3,Assess loan risk,2017-09-19 17:31:59.768,,Assess eligibility
3,Assess eligibility,2017-09-19 19:10:42.870,,Check if home insurance quote is requested
3,Check if home insurance quote is requested,2017-09-19 19:18:51.644,,Send home insurance quote
4,start_event_Loan  application received,2017-09-20 00:55:28.622,,Check  application  form completeness
4,Check  application  form completeness,2017-09-20 02:29:05.418,,Return application back to applicant
4,Return application back to applicant,2017-09-20 02:46:34.784,,Receive updated application
4,Receive updated application,2017-09-20 05:43:36.925,,Check  application  form completeness
4,Check  application  form completeness,2017-09-20 06:01:30.227,,Return application back to applicant
4,Return application back to applicant,2017-09-20 07:29:37.823,,Receive updated application
4,Receive updated application,2017-09-20 09:41:57.636,,Check  application  form completeness
4,Check  application  form completeness,2017-09-20 10:28:22.737,,Return application back to applicant
4,Return application back to applicant,2017-09-20 11:23:42.674,,Receive updated application
4,Receive updated application,2017-09-20 12:48:33.160,,Check  application  form completeness
4,Check  application  form completeness,2017-09-20 12:49:24.948,,Appraise property
5,start_event_Loan  application received,2017-09-20 10:57:43.343,,Return application back to applicant
5,Return application back to applicant,2017-09-20 10:57:43.343,True,Check  application  form completeness
5,Check  application  form completeness,2017-09-20 11:32:22.974,,Appraise property
5,Appraise property,2017-09-20 12:12:04.074,,Check credit history
5,Check credit history,2017-09-20 12:37:48.818,,Assess loan risk
5,Assess loan risk,2017-09-20 12:38:01.735,,Assess eligibility
5,Assess eligibility,2017-09-20 12:59:36.208,,Check if home insurance quote is requested
5,Check if home insurance quote is requested,2017-09-20 16:54:34.656,,Send home insurance quote
5,Send home insurance quote,2017-09-20 20:05:21.471,,Verify repayment agreement
5,Verify repayment agreement,2017-09-20 20:51:46.813,,Cancel application
5,Cancel application,2017-09-20 22:06:36.943,,end_event_Loan  application canceled
6,start_event_Loan  application received,2017-09-20 21:19:25.477,,Check  application  form completeness
6,Check  application  form completeness,2017-09-20 23:31:15.345,,Return application back to applicant
6,Return application back to applicant,2017-09-20 23:50:49.681,,Receive updated application
6,Receive updated application,2017-09-21 00:06:10.434,,Check  application  form completeness
6,Check  application  form completeness,2017-09-21 01:35:14.082,,Return application back to applicant
6,Return application back to applicant,2017-09-21 01:46:30.621,,Receive updated application
6,Receive updated application,2017-09-21 02:10:42.266,,end_event_Loan  application canceled
6,end_event_Loan  application canceled,2017-09-21 02:10:42.266,True,Check  application  form completeness
6,Check  application  form completeness,2017-09-21 05:00:10.590,,Return application back to applicant
6,Return application back to applicant,2017-09-21 10:18:07.977,,Check if home insurance quote is requested
6,Check if home insurance quote is requested,2017-09-21 10:18:07.977,True,Receive updated application
9,start_event_Loan  application received,2017-09-22 11:57:27.982,,end_event_Loan  application approved
9,end_event_Loan  application approved,2017-09-22 11:57:27.982,True,Check  application  form completeness
9,Check  application  form completeness,2017-09-22 12:01:56.659,,Return application back to applicant
9,Return application back to applicant,2017-09-22 13:06:02.297,,Receive updated application
9,Receive updated application,2017-09-22 14:08:15.715,,Check  application  form completeness
9,Check  application  form completeness,2017-09-22 16:39:51.435,,Appraise property
9,Appraise property,2017-09-22 19:13:30.972,,end_event_Loan  application approved
9,end_event_Loan  application approved,2017-09-22 19:13:30.972,True,Check credit history
9,Check credit history,2017-09-22 19:23:25.979,,Assess loan risk
9,Assess loan risk,2017-09-22 19:25:55.804,,Assess eligibility
9,Assess eligibility,2017-09-22 22:03:42.820,,Reject application
11,start_event_Loan  application received,2017-09-23 18:17:10.607,,Assess eligibility
11,Assess eligibility,2017-09-23 18:54:53.721,True,Check  application  form completeness
11,Check  application  form completeness,2017-09-23 19:29:38.250,,Check credit history
11,Check credit history,2017-09-23 20:50:36.452,,Assess loan risk
11,Assess loan risk,2017-09-23 21:08:37.408,,Appraise property
11,Appraise property,2017-09-24 00:43:57.668,,Assess eligibility
11,Assess eligibility,2017-09-24 04:22:05.815,,Check if home insurance quote is requested
11,Check if home insurance quote is requested,2017-09-24 04:25:12.327,,start_event_Loan  application received
11,start_event_Loan  application received,2017-09-24 04:25:12.327,True,Send acceptance pack
11,Send acceptance pack,2017-09-24 04:40:19.902,,Verify repayment agreement
11,Verify repayment agreement,2017-09-24 04:54:25.826,,Cancel application
14,start_event_Loan  application received,2017-09-25 14:31:52.990,,Check  application  form completeness
14,Check  application  form completeness,2017-09-25 17:23:43.923,,Return application back to applicant
14,Return application back to applicant,2017-09-25 17:54:34.620,,Receive updated application
14,Receive updated application,2017-09-25 18:40:34.938,,Check  application  form completeness
14,Check  application  form completeness,2017-09-25 18:45:00.911,,Check credit history
14,Check credit history,2017-09-25 19:18:10.602,,end_event_Loan application rejected
14,end_event_Loan application rejected,2017-09-25 20:40:22.701,True,Assess loan risk
14,Assess loan risk,2017-09-25 20:50:28.348,,Appraise property
14,Appraise property,2017-09-25 22:37:28.398,,Assess eligibility
14,Assess eligibility,2017-09-25 22:57:47.720,,Reject application
14,Reject application,2017-09-26 01:42:28.905,,end_event_Loan application rejected
16,start_event_Loan  application received,2017-09-27 20:21:00.688,,Check  application  form completeness
16,Check  application  form completeness,2017-09-27 20:43:18.861,,Return application back to applicant
16,Return application back to applicant,2017-09-27 21:49:22.185,,Receive updated application
16,Receive updated application,2017-09-27 22:00:57.801,,Check  application  form completeness
16,Check  application  form completeness,2017-09-27 22:33:09.619,,end_event_Loan  application canceled
16,end_event_Loan  application canceled,2017-09-27 22:33:09.619,True,Return application back to applicant
16,Return application back to applicant,2017-09-27 23:12:41.780,,end_event_Loan application rejected
16,end_event_Loan application rejected,2017-09-27 23:12:41.780,True,Receive updated application
16,Receive updated application,2017-09-28 01:59:04.275,,Check  application  form completeness
16,Check  application  form completeness,2017-09-28 03:45:53.496,,Return application back to applicant
16,Return application back to applicant,2017-09-28 04:33:29.852,,Receive updated application
19,start_event_Loan  application received,2017-09-29 03:02:11.413,,Check  application  form completeness
19,Check  application  form completeness,2017-09-29 05:56:23.695,,Return application back to applicant
19,Return application back to applicant,2017-09-29 07:30:31.453,,Receive updated application
19,Receive updated application,2017-09-29 08:06:08.074,,Check  application  form completeness
19,Check  application  form completeness,2017-09-29 08:49:48.310,,Check credit history
19,Check credit history,2017-09-29 08:51:33.852,,Appraise property
19,Appraise property,2017-09-29 12:42:41.724,,Assess loan risk
19,Assess loan risk,2017-09-29 13:07:04.860,,Assess eligibility
19,Assess eligibility,2017-09-29 13:12:27.341,,Check if home insurance quote is requested
19,Check if home insurance quote is requested,2017-09-29 13:43:32.306,,Send acceptance pack
19,Send acceptance pack,2017-09-29 13:49:38.101,,Verify repayment agreement
20,start_event_Loan  application received,2017-10-01 09:45:56.206,,Check  application  form completeness
20,Check  application  form completeness,2017-10-01 10:12:08.504,,Return application back to applicant
20,Return application back to applicant,2017-10-01 11:27:25.062,,Receive updated application
20,Receive updated application,2017-10-01 13:49:47.993,,Check  application  form completeness
20,Check  application  form completeness,2017-10-01 14:09:23.473,,Check credit history
20,Check credit history,2017-10-01 15:04:19.863,,Appraise property
20,Appraise property,2017-10-01 15:16:20.645,,Assess loan risk
20,Assess loan risk,2017-10-01 15:17:24.734,,Assess eligibility
20,Assess eligibility,2017-10-01 16:18:36.235,,Send home insurance quote
20,Send home insurance quote,2017-10-01 16:18:36.235,True,Reject application
20,Reject application,2017-10-01 17:52:26.270,,end_event_Loan application rejected
22,start_event_Loan  application received,2017-10-03 13:43:01.069,,Check  application  form completeness
22,Check  application  form completeness,2017-10-03 14:01:58.048,,Return application back to applicant
22,Return application back to applicant,2017-10-03 14:21:35.356,,Receive updated application
22,Receive updated application,2017-10-03 16:48:08.721,,Check  application  form completeness
22,Check  application  form completeness,2017-10-03 18:34:11.549,,Return application back to applicant
22,Return application back to applicant,2017-10-03 19:07:48.505,,Receive updated application
22,Receive updated application,2017-10-03 19:16:00.210,,Check  application  form completeness
22,Check  application  form completeness,2017-10-03 19:29:35.342,,Return application back to applicant
22,Return application back to applicant,2017-10-03 21:40:43.367,,Receive updated application
22,Receive updated application,2017-10-03 22:52:04.445,,Check  application  form completeness
22,Check  application  form completeness,2017-10-04 01:47:56.335,,Return application back to applicant
23,start_event_Loan  application received,2017-10-04 12:51:59.514,,Check  application  form completeness
23,Check  application  form completeness,2017-10-04 15:08:00.735,,Check credit history
23,Check credit history,2017-10-04 16:32:19.446,,Appraise property
23,Appraise property,2017-10-04 17:04:43.422,,Assess loan risk
23,Assess loan risk,2017-10-04 17:22:32.046,,Assess eligibility
23,Assess eligibility,2017-10-04 18:16:13.205,,Check if home insurance quote is requested
23,Check if home insurance quote is requested,2017-10-04 19:37:20.977,,Send home insurance quote
23,Send home insurance quote,2017-10-04 21:30:00.921,,Verify repayment agreement
23,Verify repayment agreement,2017-10-04 22:58:41.784,,end_event_Loan  application approved
23,end_event_Loan  application approved,2017-10-04 22:58:41.784,True,Cancel application
23,Cancel application,2017-10-04 23:45:10.862,,end_event_Loan  application canceled
26,start_event_Loan  application received,2017-10-06 01:23:22.441,,Check  application  form completeness
26,Check  application  form completeness,2017-10-06 01:23:25.119,,Return application back to applicant
26,Return application back to applicant,2017-10-06 03:21:19.900,,Receive updated application
26,Receive updated application,2017-10-06 04:51:06.475,,Check  application  form completeness
26,Check  application  form completeness,2017-10-06 05:43:00.163,,Appraise property
26,Appraise property,2017-10-06 05:50:26.169,,Check credit history
26,Check credit history,2017-10-06 07:54:50.916,,Assess loan risk
26,Assess loan risk,2017-10-06 08:13:04.336,,Assess eligibility
26,Assess eligibility,2017-10-06 08:36:02.415,,Check if home insurance quote is requested
26,Check if home insurance quote is requested,2017-10-06 08:54:14.364,,Send acceptance pack
26,Send acceptance pack,2017-10-06 11:12:14.760,,Verify repayment agreement
30,start_event_Loan  application received,2017-10-08 00:12:40.545,,Check  application  form completeness
30,Check  application  form completeness,2017-10-08 01:13:37.464,,Check credit history
30,Check credit history,2017-10-08 01:55:27.694,,Assess loan risk
30,Assess loan risk,2017-10-08 03:10:17.793,,Appraise property
30,Appraise property,2017-10-08 05:20:01.120,,Assess eligibility
30,Assess eligibility,2017-10-08 05:52:08.178,,Receive updated application
30,Receive updated application,2017-10-08 05:52:08.178,True,Check if home insurance quote is requested
30,Check if home insurance quote is requested,2017-10-08 06:11:27.720,,Send acceptance pack
30,Send acceptance pack,2017-10-08 06:52:13.133,,Verify repayment agreement
30,Verify repayment agreement,2017-10-08 09:45:24.411,,Cancel application
30,Cancel application,2017-10-08 10:35:12.437,,end_event_Loan  application canceled
31,start_event_Loan  application received,2017-10-08 05:14:45.693,,Check  application  form completeness
31,Check  application  form completeness,2017-10-08 05:36:35.160,,Return application back to applicant
31,Return application back to applicant,2017-10-08 05:53:08.583,,Receive updated application
31,Receive updated application,2017-10-08 06:22:36.849,,Check  application  form completeness
31,Check  application  form completeness,2017-10-08 07:55:52.938,,Assess eligibility
31,Assess eligibility,2017-10-08 07:55:52.938,True,Return application back to applicant
31,Return application back to applicant,2017-10-08 08:19:28.048,,Receive updated application
31,Receive updated application,2017-10-08 08:29:27.519,,Check  application  form completeness
31,Check  application  form completeness,2017-10-08 08:53:07.852,,Appraise property
31,Appraise property,2017-10-08 11:29:26.724,,Check credit history
31,Check credit history,2017-10-08 12:09:54.244,,Assess loan risk
32,start_event_Loan  application received,2017-10-10 05:05:57.630,,Check  application  form completeness
32,Check  application  form completeness,2017-10-10 06:38:09.797,,Check credit history
32,Check credit history,2017-10-10 06:56:13.640,,Appraise property
32,Appraise property,2017-10-10 07:18:19.686,,Assess loan risk
32,Assess loan risk,2017-10-10 08:30:22.477,,Assess eligibility
32,Assess eligibility,2017-10-10 09:02:17.258,,Check if home insurance quote is requested
32,Check if home insurance quote is requested,2017-10-10 09:43:31.308,,Approve application
32,Approve application,2017-10-10 09:43:31.308,True,Send acceptance pack
32,Send acceptance pack,2017-10-10 11:16:09.013,,Verify repayment agreement
32,Verify repayment agreement,2017-10-10 12:23:42.182,,Approve application
32,Approve application,2017-10-10 17:01:07.588,,Appraise property
33,start_event_Loan  application received,2017-10-10 09:26:53.368,,Check  application  form completeness
33,Check  application  form completeness,2017-10-10 09:49:26.820,,Return application back to applicant
33,Return application back to applicant,2017-10-10 11:19:46.511,,Receive updated application
33,Receive updated application,2017-10-10 13:26:08.852,,Check  application  form completeness
33,Check  application  form completeness,2017-10-10 15:30:38.852,,Return application back to applicant
33,Return application back to applicant,2017-10-10 15:37:24.138,,Receive updated application
33,Receive updated application,2017-10-10 15:47:51.653,,Check  application  form completeness
33,Check  application  form completeness,2017-10-10 16:41:06.768,,Send acceptance pack
33,Send acceptance pack,2017-10-10 16:52:24.740,True,Check credit history
33,Check credit history,2017-10-10 16:52:24.740,,Appraise property
33,Appraise property,2017-10-10 17:14:54.714,,Assess loan risk
34,start_event_Loan  application received,2017-10-13 07:32:01.783,,Check  application  form completeness
34,Check  application  form completeness,2017-10-13 08:17:58.590,,Return application back to applicant
