caseid,activity,ts,noise,outcome
0,start_event_Loan  application received,2017-09-15 14:46:25.000,,Check  application  form completeness
0,Check  application  form completeness,2017-09-15 14:48:38.802,,Appraise property
0,Appraise property,2017-09-15 15:57:26.746,,Check credit history
0,Check credit history,2017-09-15 16:00:30.869,,Check if home insurance quote is requested
0,Check if home insurance quote is requested,2017-09-15 16:00:30.869,True,Assess loan risk
0,Assess loan risk,2017-09-15 17:28:32.533,,Assess eligibility
0,Assess eligibility,2017-09-15 17:33:54.645,,Check if home insurance quote is requested
1,start_event_Loan  application received,2017-09-16 17:53:23.799,,Check  application  form completeness
1,Check  application  form completeness,2017-09-16 18:27:54.932,,Check credit history
1,Check credit history,2017-09-16 18:33:49.728,,Assess loan risk
1,Assess loan risk,2017-09-16 19:40:04.366,,Appraise property
1,Appraise property,2017-09-16 20:29:08.392,,Assess eligibility
1,Assess eligibility,2017-09-16 21:58:18.762,,Check if home insurance quote is requested
1,Check if home insurance quote is requested,2017-09-17 00:57:03.478,,Send acceptance pack
2,start_event_Loan  application received,2017-09-17 15:54:20.813,,Check  application  form completeness
2,Check  application  form completeness,2017-09-17 16:24:16.679,,Return application back to applicant
2,Return application back to applicant,2017-09-17 16:37:03.839,,Receive updated application
2,Receive updated application,2017-09-17 17:20:15.949,,Check  application  form completeness
2,Check  application  form completeness,2017-09-17 17:41:31.653,,Return application back to applicant
2,Return application back to applicant,2017-09-17 18:11:01.370,,Receive updated application
2,Receive updated application,2017-09-17 19:19:45.935,,Check  application  form completeness
3,start_event_Loan  application received,2017-09-19 13:30:01.499,,Check  application  form completeness
3,Check  application  form completeness,2017-09-19 13:54:39.302,,Return application back to applicant
3,Return application back to applicant,2017-09-19 14:57:58.492,,Receive updated application
3,Receive updated application,2017-09-19 16:15:19.131,,Check  application  form completeness
3,Check  application  form completeness,2017-09-19 16:24:47.400,,Verify repayment agreement
3,Verify repayment agreement,2017-09-19 16:24:47.400,True,Check credit history
3,Check credit history,2017-09-19 16:42:05.050,,Appraise property
4,start_event_Loan  application received,2017-09-20 00:55:28.622,,Check  application  form completeness
4,Check  application  form completeness,2017-09-20 02:29:05.418,,Return application back to applicant
4,Return application back to applicant,2017-09-20 02:46:34.784,,Receive updated application
4,Receive updated application,2017-09-20 05:43:36.925,,Check  application  form completeness
4,Check  application  form completeness,2017-09-20 06:01:30.227,,Return application back to applicant
4,Return application back to applicant,2017-09-20 07:29:37.823,,Receive updated application
4,Receive updated application,2017-09-20 09:41:57.636,,Check  application  form completeness
5,start_event_Loan  application received,2017-09-20 10:57:43.343,,Return application back to applicant
5,Return application back to applicant,2017-09-20 10:57:43.343,True,Check  application  form completeness
5,Check  application  form completeness,2017-09-20 11:32:22.974,,Appraise property
5,Appraise property,2017-09-20 12:12:04.074,,Check credit history
5,Check credit history,2017-09-20 12:37:48.818,,Assess loan risk
5,Assess loan risk,2017-09-20 12:38:01.735,,Assess eligibility
5,Assess eligibility,2017-09-20 12:59:36.208,,Check if home insurance quote is requested
6,start_event_Loan  application received,2017-09-20 21:19:25.477,,Check  application  form completeness
6,Check  application  form completeness,2017-09-20 23:31:15.345,,Return application back to applicant
6,Return application back to applicant,2017-09-20 23:50:49.681,,Receive updated application
6,Receive updated application,2017-09-21 00:06:10.434,,Check  application  form completeness
6,Check  application  form completeness,2017-09-21 01:35:14.082,,Return application back to applicant
6,Return application back to applicant,2017-09-21 01:46:30.621,,Receive updated application
6,Receive updated application,2017-09-21 02:10:42.266,,end_event_Loan  application canceled
7,start_event_Loan  application received,2017-09-21 15:13:47.473,,Check  application  form completeness
7,Check  application  form completeness,2017-09-21 16:25:35.275,,Check credit history
7,Check credit history,2017-09-21 17:32:33.710,,Assess loan risk
7,Assess loan risk,2017-09-21 18:14:46.000,,Appraise property
7,Appraise property,2017-09-21 18:43:17.122,,Assess eligibility
7,Assess eligibility,2017-09-21 19:12:03.039,,Check if home insurance quote is requested
7,Check if home insurance quote is requested,2017-09-21 21:01:57.732,,Send home insurance quote
8,start_event_Loan  application received,2017-09-21 20:35:05.535,,Check  application  form completeness
8,Check  application  form completeness,2017-09-21 21:01:55.242,,Appraise property
8,Appraise property,2017-09-22 00:20:09.343,,Check credit history
8,Check credit history,2017-09-22 01:48:43.549,,Assess loan risk
8,Assess loan risk,2017-09-22 03:40:14.624,,Assess eligibility
8,Assess eligibility,2017-09-22 04:18:13.718,,Reject application
8,Reject application,2017-09-22 09:26:16.116,,end_event_Loan application rejected
9,start_event_Loan  application received,2017-09-22 11:57:27.982,,end_event_Loan  application approved
9,end_event_Loan  application approved,2017-09-22 11:57:27.982,True,Check  application  form completeness
9,Check  application  form completeness,2017-09-22 12:01:56.659,,Return application back to applicant
9,Return application back to applicant,2017-09-22 13:06:02.297,,Receive updated application
9,Receive updated application,2017-09-22 14:08:15.715,,Check  application  form completeness
9,Check  application  form completeness,2017-09-22 16:39:51.435,,Appraise property
9,Appraise property,2017-09-22 19:13:30.972,,end_event_Loan  application approved
10,start_event_Loan  application received,2017-09-23 13:11:39.677,,Check  application  form completeness
10,Check  application  form completeness,2017-09-23 13:14:11.082,,Check credit history
10,Check credit history,2017-09-23 13:23:24.194,,Appraise property
10,Appraise property,2017-09-23 13:30:05.331,,Assess loan risk
10,Assess loan risk,2017-09-23 14:58:57.638,,Assess eligibility
10,Assess eligibility,2017-09-23 17:02:28.023,,Reject application
10,Reject application,2017-09-23 18:16:08.673,,end_event_Loan application rejected
11,start_event_Loan  application received,2017-09-23 18:17:10.607,,Assess eligibility
11,Assess eligibility,2017-09-23 18:54:53.721,True,Check  application  form completeness
11,Check  application  form completeness,2017-09-23 19:29:38.250,,Check credit history
11,Check credit history,2017-09-23 20:50:36.452,,Assess loan risk
11,Assess loan risk,2017-09-23 21:08:37.408,,Appraise property
11,Appraise property,2017-09-24 00:43:57.668,,Assess eligibility
11,Assess eligibility,2017-09-24 04:22:05.815,,Check if home insurance quote is requested
12,start_event_Loan  application received,2017-09-24 20:58:14.298,,Check  application  form completeness
12,Check  application  form completeness,2017-09-24 21:14:59.790,,Appraise property
12,Appraise property,2017-09-24 21:58:22.166,,Appraise property
12,Appraise property,2017-09-24 21:58:22.166,True,Check credit history
12,Check credit history,2017-09-24 23:36:23.043,,Assess loan risk
12,Assess loan risk,2017-09-24 23:41:07.298,,Assess eligibility
12,Assess eligibility,2017-09-25 00:00:06.967,,Reject application
13,start_event_Loan  application received,2017-09-25 10:48:19.971,,Check  application  form completeness
13,Check  application  form completeness,2017-09-25 11:12:56.026,,Appraise property
13,Appraise property,2017-09-25 13:20:39.752,,Check credit history
13,Check credit history,2017-09-25 15:01:05.105,,Assess loan risk
13,Assess loan risk,2017-09-25 15:14:31.807,,Assess eligibility
13,Assess eligibility,2017-09-25 16:25:36.002,,Check if home insurance quote is requested
13,Check if home insurance quote is requested,2017-09-25 18:31:20.721,,Send acceptance pack
14,start_event_Loan  application received,2017-09-25 14:31:52.990,,Check  application  form completeness
14,Check  application  form completeness,2017-09-25 17:23:43.923,,Return application back to applicant
14,Return application back to applicant,2017-09-25 17:54:34.620,,Receive updated application
14,Receive updated application,2017-09-25 18:40:34.938,,Check  application  form completeness
14,Check  application  form completeness,2017-09-25 18:45:00.911,,Check credit history
14,Check credit history,2017-09-25 19:18:10.602,,end_event_Loan application rejected
14,end_event_Loan application rejected,2017-09-25 20:40:22.701,True,Assess loan risk
15,Check  application  form completeness,2017-09-26 02:00:03.382,True,start_event_Loan  application received
15,start_event_Loan  application received,2017-09-26 09:52:51.650,,Check  application  form completeness
15,Check  application  form completeness,2017-09-26 10:10:55.154,,Appraise property
15,Appraise property,2017-09-26 10:12:20.249,,Check credit history
15,Check credit history,2017-09-26 13:15:51.800,,Assess loan risk
15,Assess loan risk,2017-09-26 13:35:47.967,,Assess eligibility
15,Assess eligibility,2017-09-26 14:50:34.331,,Reject application
16,start_event_Loan  application received,2017-09-27 20:21:00.688,,Check  application  form completeness
16,Check  application  form completeness,2017-09-27 20:43:18.861,,Return application back to applicant
16,Return application back to applicant,2017-09-27 21:49:22.185,,Receive updated application
16,Receive updated application,2017-09-27 22:00:57.801,,Check  application  form completeness
16,Check  application  form completeness,2017-09-27 22:33:09.619,,end_event_Loan  application canceled
16,end_event_Loan  application canceled,2017-09-27 22:33:09.619,True,Return application back to applicant
16,Return application back to applicant,2017-09-27 23:12:41.780,,end_event_Loan application rejected
17,start_event_Loan  application received,2017-09-28 06:52:29.228,,Check  application  form completeness
17,Check  application  form completeness,2017-09-28 07:21:53.312,,Return application back to applicant
17,Return application back to applicant,2017-09-28 07:28:31.661,,Receive updated application
17,Receive updated application,2017-09-28 08:42:10.346,,Check  application  form completeness
17,Check  application  form completeness,2017-09-28 10:26:52.268,,Appraise property
17,Appraise property,2017-09-28 10:26:55.665,,Check credit history
17,Check credit history,2017-09-28 10:35:38.225,,Assess loan risk
18,start_event_Loan  application received,2017-09-28 15:21:30.488,,Check  application  form completeness
18,Check  application  form completeness,2017-09-28 19:02:21.189,,Appraise property
18,Appraise property,2017-09-28 19:43:59.294,,Check credit history
18,Check credit history,2017-09-28 21:01:59.282,,Assess loan risk
18,Assess loan risk,2017-09-28 22:43:22.344,,Assess eligibility
18,Assess eligibility,2017-09-28 22:47:31.660,,Reject application
18,Reject application,2017-09-28 22:54:55.825,,end_event_Loan application rejected
19,start_event_Loan  application received,2017-09-29 03:02:11.413,,Check  application  form completeness
19,Check  application  form completeness,2017-09-29 05:56:23.695,,Return application back to applicant
19,Return application back to applicant,2017-09-29 07:30:31.453,,Receive updated application
19,Receive updated application,2017-09-29 08:06:08.074,,Check  application  form completeness
19,Check  application  form completeness,2017-09-29 08:49:48.310,,Check credit history
19,Check credit history,2017-09-29 08:51:33.852,,Appraise property
19,Appraise property,2017-09-29 12:42:41.724,,Assess loan risk
20,start_event_Loan  application received,2017-10-01 09:45:56.206,,Check  application  form completeness
20,Check  application  form completeness,2017-10-01 10:12:08.504,,Return application back to applicant
20,Return application back to applicant,2017-10-01 11:27:25.062,,Receive updated application
20,Receive updated application,2017-10-01 13:49:47.993,,Check  application  form completeness
20,Check  application  form completeness,2017-10-01 14:09:23.473,,Check credit history
20,Check credit history,2017-10-01 15:04:19.863,,Appraise property
20,Appraise property,2017-10-01 15:16:20.645,,Assess loan risk
21,start_event_Loan  application received,2017-10-02 04:21:19.863,,Reject application
21,Reject application,2017-10-02 04:21:19.863,True,Check  application  form completeness
21,Check  application  form completeness,2017-10-02 04:59:33.063,,Check credit history
21,Check credit history,2017-10-02 06:37:12.672,,Assess loan risk
21,Assess loan risk,2017-10-02 06:40:05.716,,Appraise property
21,Appraise property,2017-10-02 06:49:21.756,,Assess eligibility
21,Assess eligibility,2017-10-02 10:16:40.170,,Reject application
22,start_event_Loan  application received,2017-10-03 13:43:01.069,,Check  application  form completeness
22,Check  application  form completeness,2017-10-03 14:01:58.048,,Return application back to applicant
22,Return application back to applicant,2017-10-03 14:21:35.356,,Receive updated application
22,Receive updated application,2017-10-03 16:48:08.721,,Check  application  form completeness
22,Check  application  form completeness,2017-10-03 18:34:11.549,,Return application back to applicant
22,Return application back to applicant,2017-10-03 19:07:48.505,,Receive updated application
22,Receive updated application,2017-10-03 19:16:00.210,,Check  application  form completeness
23,start_event_Loan  application received,2017-10-04 12:51:59.514,,Check  application  form completeness
23,Check  application  form completeness,2017-10-04 15:08:00.735,,Check credit history
23,Check credit history,2017-10-04 16:32:19.446,,Appraise property
23,Appraise property,2017-10-04 17:04:43.422,,Assess loan risk
23,Assess loan risk,2017-10-04 17:22:32.046,,Assess eligibility
23,Assess eligibility,2017-10-04 18:16:13.205,,Check if home insurance quote is requested
23,Check if home insurance quote is requested,2017-10-04 19:37:20.977,,Send home insurance quote
24,start_event_Loan  application received,2017-10-04 17:23:31.456,,Check  application  form completeness
24,Check  application  form completeness,2017-10-04 21:44:27.675,,Check credit history
24,Check credit history,2017-10-04 22:24:25.863,,Assess loan risk
24,Assess loan risk,2017-10-04 22:38:09.934,,Appraise property
24,Appraise property,2017-10-04 23:18:17.230,,Assess eligibility
24,Assess eligibility,2017-10-05 02:41:40.517,,Reject application
24,Reject application,2017-10-05 02:51:30.995,,end_event_Loan application rejected
25,start_event_Loan  application received,2017-10-05 02:56:19.723,,Check  application  form completeness
25,Check  application  form completeness,2017-10-05 04:29:46.854,,Appraise property
25,Appraise property,2017-10-05 07:28:50.462,,Check credit history
25,Check credit history,2017-10-05 07:49:15.834,,Assess loan risk
25,Assess loan risk,2017-10-05 08:00:13.273,,Assess eligibility
25,Assess eligibility,2017-10-05 08:04:42.699,,Check if home insurance quote is requested
25,Check if home insurance quote is requested,2017-10-05 08:10:37.507,,Send acceptance pack
26,start_event_Loan  application received,2017-10-06 01:23:22.441,,Check  application  form completeness
26,Check  application  form completeness,2017-10-06 01:23:25.119,,Return application back to applicant
26,Return application back to applicant,2017-10-06 03:21:19.900,,Receive updated application
26,Receive updated application,2017-10-06 04:51:06.475,,Check  application  form completeness
26,Check  application  form completeness,2017-10-06 05:43:00.163,,Appraise property
26,Appraise property,2017-10-06 05:50:26.169,,Check credit history
26,Check credit history,2017-10-06 07:54:50.916,,Assess loan risk
27,start_event_Loan  application received,2017-10-06 09:46:08.846,,Check  application  form completeness
27,Check  application  form completeness,2017-10-06 11:04:05.510,,Check credit history
27,Check credit history,2017-10-06 11:26:41.033,,Appraise property
27,Appraise property,2017-10-06 11:48:48.322,,Assess loan risk
27,Assess loan risk,2017-10-06 14:19:08.693,,Assess eligibility
27,Assess eligibility,2017-10-06 15:12:31.858,,Check if home insurance quote is requested
27,Check if home insurance quote is requested,2017-10-06 15:23:42.890,,Send acceptance pack
28,start_event_Loan  application received,2017-10-06 20:39:48.169,,Check  application  form completeness
28,Check  application  form completeness,2017-10-06 21:38:28.011,,Check credit history
28,Check credit history,2017-10-06 22:01:16.029,,Appraise property
28,Appraise property,2017-10-06 22:11:58.806,,Assess loan risk
28,Assess loan risk,2017-10-06 23:40:25.218,,Assess eligibility
28,Assess eligibility,2017-10-07 00:38:17.182,,Reject application
28,Reject application,2017-10-07 00:55:49.018,,Assess eligibility
29,start_event_Loan  application received,2017-10-07 01:24:11.048,,Assess loan risk
29,Assess loan risk,2017-10-07 01:24:11.048,True,Check  application  form completeness
29,Check  application  form completeness,2017-10-07 05:44:43.450,,start_event_Loan  application received
29,start_event_Loan  application received,2017-10-07 05:44:43.450,True,Check credit history
29,Check credit history,2017-10-07 06:38:17.775,,Assess loan risk
29,Assess loan risk,2017-10-07 07:53:22.564,,Appraise property
29,Appraise property,2017-10-07 11:43:19.300,,Assess eligibility
30,start_event_Loan  application received,2017-10-08 00:12:40.545,,Check  application  form completeness
30,Check  application  form completeness,2017-10-08 01:13:37.464,,Check credit history
30,Check credit history,2017-10-08 01:55:27.694,,Assess loan risk
30,Assess loan risk,2017-10-08 03:10:17.793,,Appraise property
30,Appraise property,2017-10-08 05:20:01.120,,Assess eligibility
30,Assess eligibility,2017-10-08 05:52:08.178,,Receive updated application
